"NGenes"	"PropDown"	"PropUp"	"Direction"	"PValue"	"FDR"	"PValue.Mixed"	"FDR.Mixed"
"HALLMARK_PEROXISOME"	344	0.116279069767442	0.11046511627907	"Down"	0.7495	0.880397727272727	0.2345	0.297256097560976
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	205	0.126829268292683	0.117073170731707	"Up"	0.7535	0.880397727272727	0.2065	0.286458333333333
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	523	0.145315487571702	0.105162523900574	"Down"	0.755	0.880397727272727	0.2305	0.297256097560976
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	155	0.154838709677419	0.154838709677419	"Up"	0.7565	0.880397727272727	0.074	0.2775
"HALLMARK_MITOTIC_SPINDLE"	844	0.135071090047393	0.131516587677725	"Up"	0.7625	0.880397727272727	0.107	0.2775
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	643	0.144634525660964	0.118195956454121	"Down"	0.7685	0.880397727272727	0.25	0.297321428571429
"HALLMARK_MTORC1_SIGNALING"	645	0.122480620155039	0.122480620155039	"Up"	0.775	0.880397727272727	0.244	0.297256097560976
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	465	0.0860215053763441	0.0580645161290323	"Down"	0.848	0.940051020408163	0.527	0.527
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	260	0.134615384615385	0.0961538461538462	"Down"	0.871	0.940051020408163	0.353	0.365561224489796
"HALLMARK_ANGIOGENESIS"	159	0.176100628930818	0.157232704402516	"Down"	0.896	0.940051020408163	0.158	0.2775
"HALLMARK_HYPOXIA"	663	0.138763197586727	0.134238310708899	"Down"	0.904	0.940051020408163	0.1945	0.2775
"HALLMARK_P53_PATHWAY"	621	0.115942028985507	0.109500805152979	"Up"	0.9215	0.940051020408163	0.2165	0.29222972972973
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	167	0.107784431137725	0.0718562874251497	"Down"	0.9845	0.9845	0.27	0.313662790697674
